id;point;address
1;775;st. john`s island 49
2;2;kusu island 10
3;3;pulau bukom kechil 18
4;3;pulau bukom kechil 19
5;3;pulau bukom kechil 20
6;3;pulau bukom kechil 22
7;3;pulau bukom kechil 24
8;3;pulau bukom kechil 26
9;4;pulau bukom kechil 29
10;4;pulau bukom kechil 3
11;4;pulau bukom kechil 8
12;4;pulau bukom kechil stall 15
13;5;pulau bukom kechil 0
14;5;pulau bukom kechil 1
15;6;pulau sebarok 5
16;7;ocean drive 287
17;8;ocean drive 278
18;9;sentosa 15
19;10;banyan road 32
20;11;ocean drive 208
21;12;ocean drive 200
22;13;sentosa 19a
23;13;sentosa 8a
24;13;sentosa 10
25;13;sentosa 11
26;14;ocean drive 214
27;15;ocean drive 216
28;16;ocean drive 222
29;17;ocean drive 228
30;18;ocean drive 36
31;19;artillery avenue 8
32;20;ocean drive 198
33;21;palawan beach walk 60
34;22;siloso beach walk 62
35;23;allanbrooke road 33
36;23;palawan beach walk 72
37;24;ocean drive 201
38;25;siloso beach walk 60
39;26;artillery avenue 39
40;27;laguna golf green 11
41;28;ocean drive 120
42;29;siloso beach walk 50
43;30;siloso beach walk 46
44;31;siloso beach walk 40
45;32;banyan view 1
46;33;siloso beach walk 36
47;34;siloso road 14
48;35;siloso beach walk 30
49;36;imbiah walk 30
50;36;imbiah walk 51
51;37;siloso beach walk 10a
52;39;siloso beach walk 10
53;39;siloso beach walk 43
54;40;banyan drive 22
55;40;banyan drive 32
56;41;banyan place 1
57;41;banyan place 2
58;42;eng kong terrace 69
59;43;maritime square 58
60;44;maritime square 106-108
61;44;maritime square 1106
62;44;maritime square 160
63;44;maritime square 801
64;44;maritime square 803
65;44;maritime square 804
66;44;maritime square 819
67;44;maritime square 849
68;44;maritime square 857a
69;44;maritime square 859
70;44;maritime square g-48
71;45;maritime square 3
72;46;harbourfront place 3
73;47;harbour drive 20
74;48;harbourfront place 1
75;49;ayer merbau road 100
76;50;keppel bay drive 44
77;50;keppel bay drive 46
78;50;keppel bay drive 5
79;50;keppel bay drive 6
80;50;keppel bay drive 8
81;50;keppel bay drive 9
82;50;keppel bay vista 2
83;51;keppel bay drive 19
84;52;harbourfront walk 1
85;53;keppel bay drive 28
86;54;harbourfront avenue 1
87;55;maritime square 2
88;56;keppel bay drive 26
89;57;keppel road 201
90;58;port road 8
91;59;keppel bay drive 36
92;60;keppel bay view 21
93;61;keppel bay drive 24
94;62;keppel bay drive 22
95;63;telok blangah road 65
96;64;telok blangah road 56
97;65;telok blangah road 19
98;66;telok blangah road 17
99;67;telok blangah road 11
100;68;telok blangah road 10
101;69;telok blangah road 5
102;70;telok blangah road 1
103;71;keppel bay drive 20
104;72;keppel bay drive 34
105;73;telok blangah road 152
106;74;keppel bay drive 18
107;75;keppel bay drive 38
108;76;keppel bay drive 1
109;77;keppel bay view 19
110;78;telok blangah road 100
111;79;telok blangah road 81
112;80;keppel road 157
113;81;harbourfront place 2
114;82;telok blangah road 52
115;82;telok blangah road no. 52
116;83;keppel bay drive 32
117;84;keppel bay drive 16
118;85;telok blangah road 50
119;86;telok blangah road 66
120;86;telok blangah road 66b
121;87;keppel bay view 17
122;88;keppel bay drive 40
123;89;keppel bay drive 14
124;90;keppel bay drive 30
125;91;keppel bay drive 12
126;92;keppel bay view 23
127;93;keppel bay view 27
128;94;keppel bay view 29
129;95;telok blangah road 68
130;96;keppel bay view 9
131;97;seah im road 44
132;98;keppel bay drive 42
133;99;keppel bay view 7
134;100;keppel bay view 25
135;101;keppel bay view 15
136;102;keppel bay drive 10
137;103;keppel bay view 8
138;104;keppel bay view 31
139;105;keppel bay view 11
140;106;marang road 51
141;106;marang road 51a
142;107;keppel bay view 33
143;108;keppel bay view 5
144;109;keppel bay drive 2
145;110;keppel bay drive 4
146;111;keppel bay view 3
147;112;seah im road -
148;112;seah im road 2
149;112;seah im road 33
150;112;seah im road 33a
151;112;seah im road 34
152;112;seah im road 35
153;112;seah im road 36
154;112;seah im road 37
155;112;seah im road 37a
156;112;seah im road 39
157;113;labrador villa road 30
158;114;tuas south boulevard 80
159;115;keppel bay view 1
160;116;kampong bahru road 529
161;116;kampong bahru road 535-537
162;116;kampong bahru road 543
163;116;kampong bahru road 601
164;116;kampong bahru road 613
165;8936;kampong bahru road 615
166;117;seah im road 34a
167;118;keppel bay view 13
168;119;bukit chermin road -
169;120;bukit teresa road 191
170;121;bukit teresa road 2
171;122;bukit teresa road 247d
172;121;bukit teresa road 74d
173;123;carlton avenue 2
174;2520;collyer quay 6
175;125;depot lane 12
176;125;depot lane 16b
177;126;depot lane 29
178;126;depot lane 94
179;13020;depot road 20
180;13020;depot road 4001
181;129;depot road 4005
182;130;depot road 585e
183;130;depot road 643
184;130;depot road 663e
185;131;depot road 7-637
186;131;depot road 7-647
187;130;depot road 993
188;132;jetty road a-6
189;133;kampong bahru road 481
190;133;kampong bahru road 489
191;133;kampong bahru road 497
192;133;kampong bahru road 503-607
193;134;kampong bahru road 515a
194;135;kampong bahru road 521-3
195;136;keppel road 73
196;137;marang road 74e
197;13020;maritime square 01
198;139;mount faber road 8
199;140;newton road 13
200;11526;newton road 2
201;142;newton road 28
202;143;newton road 3
203;143;newton road 3-31
204;144;newton road 38
205;141;newton road 6
206;145;newton road 62
207;146;newton road 68
208;147;newton road 72
209;147;newton road 74
210;148;newton road 76
211;149;newton road 78
212;150;newton road 80
213;151;newton road 82
214;152;pender road 100
215;153;radin mas 1
216;154;radin mas 10
217;153;radin mas 11
218;153;radin mas 14
219;155;radin mas 15
220;153;radin mas 16-18
221;153;radin mas 1a
222;153;radin mas 2
223;156;radin mas 30
224;153;radin mas 32/38
225;153;radin mas 33
226;154;radin mas 4
227;153;radin mas 47a
228;153;radin mas 53
229;153;radin mas 58
230;154;radin mas 6
231;153;radin mas 68a
232;154;radin mas 8
233;153;radin mas quarters
234;13;sentosa -
235;157;telok blangah crescent 1
236;158;telok blangah crescent 10
237;159;telok blangah crescent 1005
238;160;telok blangah crescent 11
239;161;telok blangah crescent 119
240;162;telok blangah crescent 12
241;161;telok blangah crescent 122
242;163;telok blangah crescent 13
243;164;telok blangah crescent 14
244;159;telok blangah crescent 308k
245;165;telok blangah crescent 4
246;159;telok blangah crescent 446n
247;159;telok blangah crescent 458a
248;166;telok blangah crescent 5
249;159;telok blangah crescent 516c
250;159;telok blangah crescent 574l
251;167;telok blangah crescent 6
252;159;telok blangah crescent 602c
253;159;telok blangah crescent 612e
254;168;telok blangah crescent 7
255;169;telok blangah crescent 8
256;169;telok blangah crescent 8-440
257;161;telok blangah crescent 80h
258;161;telok blangah crescent 89r
259;170;telok blangah crescent 9
260;170;telok blangah crescent 9-446
261;162;telok blangah crescent blk 12
262;171;telok blangah crescent blk 2
263;167;telok blangah crescent blk 6
264;172;telok blangah drive 1-394
265;173;telok blangah rise 130
266;174;telok blangah rise 207k
267;174;telok blangah rise 229g
268;175;telok blangah road 279
269;175;telok blangah road 281
270;175;telok blangah road 283
271;175;telok blangah road 287
272;175;telok blangah road 291
273;175;telok blangah road 303
274;175;telok blangah road 305
275;175;telok blangah road 307
276;175;telok blangah road 309
277;175;telok blangah road 315
278;175;telok blangah road 317
279;175;telok blangah road 319
280;176;telok blangah road 368
281;176;telok blangah road 370
282;177;telok blangah road 372
283;178;telok blangah road 389
284;179;telok blangah road 396
285;180;telok blangah road 398
286;181;telok blangah road 402
287;182;telok blangah road 404
288;182;telok blangah road 404a
289;183;telok blangah road 41
290;184;telok blangah road 410
291;1033;telok blangah road 412
292;184;telok blangah road 412a
293;185;telok blangah road 414
294;185;telok blangah road 414a
295;185;telok blangah road 416
296;185;telok blangah road 416a
297;186;telok blangah road 418
298;187;telok blangah road 422
299;187;telok blangah road 422a
300;188;telok blangah road 424
301;188;telok blangah road 424a
302;189;telok blangah road 426
303;189;telok blangah road 426a
304;190;telok blangah road 428
305;190;telok blangah road 428a
306;191;telok blangah road 430
307;191;telok blangah road 432
308;191;telok blangah road 432-a
309;191;telok blangah road 432a
310;192;telok blangah road 434
311;192;telok blangah road 434a
312;193;telok blangah road 45
313;194;telok blangah road 6
314;195;telok blangah road 612
315;196;telok blangah road 616
316;197;telok blangah road 72
317;198;telok blangah road b-01
318;199;telok blangah road blk 40
319;200;telok blangah road blk 49
320;201;telok blangah road blk 51
321;202;telok blangah road w-2
322;203;telok blangah street 31 101
323;204;telok blangah street 31 33
324;205;telok blangah way 2
325;205;telok blangah way 2-1062
326;206;telok blangah way 27
327;207;telok blangah way 33
328;208;angsana drive 1
329;175;telok blangah road 222b
330;175;telok blangah road 232
331;175;telok blangah road 261
332;175;telok blangah road 263
333;175;telok blangah road 265
334;175;telok blangah road 267
335;175;telok blangah road 269
336;175;telok blangah road 271
337;175;telok blangah road 273
338;175;telok blangah road 293
339;175;telok blangah road 295
340;175;telok blangah road 297
341;175;telok blangah road 301
342;209;telok blangah road 323
343;210;bukit chermin road 1
344;211;telok blangah road 344
345;212;telok blangah road 325
346;212;telok blangah road 337
347;212;telok blangah road 350
348;213;telok blangah road -
349;213;telok blangah road g-9
350;214;telok blangah road 400
351;215;wishart road 66
352;216;wishart road 75
353;217;wishart road 75a
354;154;radin mas 25
355;218;morse road 207-209
356;218;morse road 215
357;218;morse road 400
358;219;tuas south street 11 9
359;220;wishart road 100
360;221;wishart road 102
361;222;wishart road 106
362;223;wishart road 110a
363;224;wishart road 110b
364;225;wishart road 110j
365;226;wishart road 110k
366;227;wishart road 110l
367;228;wishart road 110m
368;229;wishart road 110n
369;230;wishart road 110p
370;231;wishart road 112
371;231;wishart road 112a
372;232;wishart road 116
373;233;wishart road 118
374;234;wishart road 63
375;235;wishart road 65
376;236;wishart road 77
377;237;wishart road 77a
378;238;wishart road 79
379;239;wishart road 79a
380;240;morse road 1
381;241;morse road 16
382;241;morse road 214
383;242;banyan avenue 18
384;11853;mount faber road 6b
385;244;telok blangah rise 43
386;244;telok blangah rise blk 43
387;245;telok blangah road 450
388;246;wishart road 114
389;247;wishart road 119c
390;247;wishart road 215
391;248;telok blangah rise 42
392;249;wishart road 110c
393;250;wishart road 110d
394;251;mount faber road 1-01
395;251;mount faber road 1-10
396;252;wishart road 110e
397;253;ayer merbau road 39
398;254;wishart road 110f
399;255;pasir panjang road 5
400;256;pasir panjang road 50
401;257;pasir panjang road 505
402;258;pasir panjang road 507
403;259;pasir panjang road 541b
404;259;pasir panjang road 541d
405;260;pasir panjang road 55
406;261;pasir panjang road 59
407;262;pasir panjang road 5e
408;263;faber drive 108a
409;264;mount pleasant road 1
410;265;mount pleasant road 152
411;266;mount pleasant road 154
412;267;mount pleasant road 155
413;268;mount pleasant road 158
414;269;mount pleasant road 159
415;270;mount pleasant road 160
416;271;mount pleasant road 161
417;272;mount pleasant road 162
418;273;mount pleasant road 163
419;274;mount pleasant road 164
420;275;mount pleasant road 166
421;276;mount pleasant road 168
422;277;wishart road 110g
423;278;keppel road 7b
424;279;telok blangah drive 44
425;291;keppel road 7
426;281;tuas south street 15 10
427;282;telok blangah rise 41
428;283;hougang street 31 21
429;284;telok blangah road 610
430;285;keppel road 43
431;286;pasir panjang road 23
432;287;telok blangah road 608
433;288;telok blangah drive 46
434;289;telok blangah rise 39
435;290;bukit purmei road 7-44
436;292;keppel road 39
437;293;telok blangah drive 21
438;294;duxton road 39
439;295;duxton road 39/40
440;295;duxton road 39a
441;296;duxton road 74
442;296;duxton road 74a
443;294;duxton road 74b
444;294;duxton road 74c
445;297;keppel road 7a
446;298;keppel road 37
447;299;telok blangah drive 47
448;300;telok blangah drive 45
449;301;kampong bahru road 524
450;136;keppel road 115
451;136;keppel road 72a
452;302;keppel road 420
453;302;keppel road -
454;302;keppel road 2557
455;302;keppel road blk a
456;302;keppel road f8
457;302;keppel road 506
458;303;telok blangah rise 40
459;200;telok blangah drive 49
460;304;pender road 1
461;304;pender road 3
462;304;pender road 4-1
463;304;pender road 4-2
464;304;pender road 7b
465;304;pender road 7c
466;304;pender road 9b
467;304;pender road 9c
468;305;telok blangah drive 48
469;306;telok blangah rise 1
470;307;telok blangah rise 34
471;308;telok blangah rise 31
472;309;keppel road 1
473;309;keppel road 2
474;309;keppel road 6
475;310;telok blangah rise 38
476;310;telok blangah rise blk 38
477;311;telok blangah rise 36
478;174;telok blangah rise 389a
479;174;telok blangah rise 630h
480;174;telok blangah rise 644j
481;173;telok blangah rise 52
482;312;tuas south street 12 8
483;313;telok blangah rise 354
484;314;keppel road 30a
485;315;telok blangah drive 5-252
486;316;telok blangah drive 8-176
487;316;telok blangah drive 8-50
488;317;telok blangah drive 9-218
489;318;telok blangah drive 19e
490;319;bukit purmei 239e
491;319;bukit purmei 246
492;319;bukit purmei 321b
493;319;bukit purmei 321k
494;319;bukit purmei 323
495;320;telok blangah drive 39h
496;321;keppel road 17
497;322;keppel road 9g
498;322;keppel road 9j
499;323;telok blangah rise 37
500;324;telok blangah drive 214e
501;324;telok blangah drive 252d
502;324;telok blangah drive 308e
503;324;telok blangah drive 308j
504;324;telok blangah drive 320
505;324;telok blangah drive 320-326
506;324;telok blangah drive 356
507;324;telok blangah drive 382
508;324;telok blangah drive 416
509;324;telok blangah drive 878
510;325;keppel road 30
511;637;pasir panjang road 01
512;326;pasir panjang road 151
513;326;wholesale centre 1-86
514;326;wholesale centre 151
515;327;telok blangah drive 4-254
516;1095;shenton way 110
517;1095;shenton way 103
518;328;shenton way 105
519;328;shenton way 108-109
520;1095;shenton way 113
521;328;shenton way 115
522;328;shenton way 117
523;328;shenton way 118
524;328;shenton way 119
525;329;telok blangah drive 71
526;3582;anson road 101
527;330;anson road 102
528;3582;anson road 103
529;3582;anson road 105
530;330;anson road 106
531;330;anson road 123a
532;3582;anson road 131a
533;331;keppel road railway st
534;332;keppel road 19
535;333;telok blangah drive 81
536;334;telok blangah rise 30
537;335;telok blangah rise 35
538;336;telok blangah drive 85
539;337;keppel road 1557
540;337;keppel road 1557 blk a
541;337;keppel road 1557 blk b
542;338;telok blangah drive 50
543;339;telok blangah drive 92d
544;340;telok blangah rise 32
545;341;alexandra road 991d
546;342;telok blangah drive 134b
547;342;telok blangah drive 150e
548;342;telok blangah drive 165
549;343;shenton way 78
550;133;kampong bahru road 469
551;133;kampong bahru road 471
552;133;kampong bahru road 475
553;344;keppel road 11
554;345;bukit purmei 107
555;346;lim teck kim road 3b
556;347;anson road 80
557;348;telok blangah drive 79
558;349;ayer merbau road 31
559;350;tuas south street 15 20
560;775;tanjong pagar road 280
561;351;tanjong pagar road 401
562;352;telok blangah drive 2
563;353;tanjong pagar road 270
564;354;lim teck kim road 5a
565;355;shenton way 79
566;356;palmer road 1902
567;357;cantonment close 1
568;357;cantonment close 11
569;357;cantonment close 12
570;357;cantonment close 13
571;357;cantonment close 16
572;357;cantonment close 17
573;357;cantonment close 18
574;357;cantonment close 19
575;357;cantonment close 8
576;357;cantonment close 9
577;201;telok blangah drive 51
578;358;anson road 155
579;359;shenton way 76
580;360;telok blangah way 34
581;361;telok blangah drive 54
582;362;spottiswoode park road 106
583;363;telok blangah street 31 80a
584;364;anson road -
585;364;anson road 1001
586;3582;anson road 1002
587;364;anson road 1104
588;364;anson road 1808
589;3582;anson road 1903a
590;364;anson road 1905
591;364;anson road 2003
592;364;anson road 210
593;3582;anson road 2411
594;364;anson road 3117
595;364;anson road 3206a
596;364;anson road 3265
597;3582;anson road 3403
598;364;anson road 410
599;364;anson road a10
600;365;spottiswoode park road 110
601;366;spottiswoode park road 107
602;366;park road 107
603;367;tanjong pagar road 260
604;368;tuas south street 13 1
605;368;tuas south street 13 10
606;368;tuas south street 13 12
607;369;telok blangah road 54
608;370;shenton way 55
609;371;telok blangah rise 29
610;372;palmer road 1
611;372;palmer road 50h
612;372;palmer road 70
613;373;anson road 81
614;374;bukit purmei 11-07
615;392;hoe chiang road no. 15
616;376;telok blangah drive 52
617;377;spottiswoode park road 105
618;378;telok blangah street 32 77
619;379;anson road 70
620;380;telok blangah drive 77
621;381;mistri road 2
622;407;mistri road no. 2
623;381;tras street m-5
624;382;telok blangah heights 55
625;382;telok blangah drive 55
626;383;anson road 72
627;384;telok blangah rise 28
628;385;hoe chiang road 1
629;386;hoe chiang road 10
630;387;hoe chiang road 15
631;385;hoe chiang road 1a
632;385;hoe chiang road 1c
633;385;hoe chiang road 1d
634;388;hoe chiang road 3
635;388;hoe chiang road 3d
636;389;hoe chiang road 5
637;390;hoe chiang road 50
638;389;hoe chiang road 5d
639;391;hoe chiang road 7
640;391;hoe chiang road 7-d
641;391;hoe chiang road 7a
642;391;hoe chiang road 7c
643;391;hoe chiang road 7d
644;392;hoe chiang road 9
645;392;hoe chiang road 94
646;392;hoe chiang road 9a
647;392;hoe chiang road 9b
648;392;hoe chiang road 9c
649;392;hoe chiang road 9d
650;393;cantonment road 16
651;17548;bukit purmei avenue 109
652;388;hoe chiang road 3-01
653;395;telok blangah drive 82
654;395;telok blangah drive blk 82
655;396;cashew link 20
656;397;enggor street 15
657;3582;enggor street 15k
658;3582;enggor street 15n
659;397;enggor street 15t
660;398;enggor street 16
661;399;enggor street 8
662;397;enggor street no 15
663;400;telok blangah street 31 80b
664;401;telok blangah drive 80
665;402;spottiswoode park road 109
666;403;telok blangah heights 65
667;404;anson road 708
668;405;telok blangah drive 65
669;406;telok blangah drive 66
670;408;telok blangah drive 78
671;408;telok blangah drive 78a
672;409;tras street 170
673;410;anson road 54
674;411;anson road 79
675;412;telok blangah drive 53
676;413;jalan pelepah 20
677;3582;enggor street 12
678;415;telok blangah drive 76
679;415;telok blangah drive blk 76
680;416;telok blangah drive 101
681;417;jalan pelepah 14
682;418;jalan bukit merah 8a
683;419;jalan pasir ria 1
684;420;jalan pasir ria 16
685;421;jalan pasir ria 6
686;422;jalan pasir ria 8
687;423;jalan pelepah 10
688;424;jalan pelepah 16
689;425;jalan pelepah 18
690;426;jalan pelepah 2
691;427;jalan pelepah 25
692;428;jalan pelepah 29
693;429;jalan pelepah 3
694;430;jalan pelepah 35
695;431;jalan pelepah 37
696;432;jalan pelepah 6
697;433;jalan pelepah 8
698;434;jalan pelepah 9
699;435;tembusu avenue 29
700;436;spottiswoode park road 104
701;437;shenton way 13
702;437;shenton way 14
703;437;shenton way 17
704;437;shenton way 18-07
705;437;shenton way 22
706;437;shenton way 22-05
707;437;shenton way 22-25
708;437;shenton way 24t
709;1095;shenton way 34
710;438;tanjong pagar road 240b
711;439;tras street 171
712;3582;tras street 171/179
713;3582;tras street 171d
714;440;bukit purmei avenue 112
715;3582;tras street 179g
716;442;telok blangah drive 64
717;443;anson road 51
718;3582;anson road 140
719;445;anson road 51f
720;446;telok blangah heights 57
721;447;kee seng street 234
722;448;spottiswoode park road 103
723;449;telok blangah drive 67
724;450;spottiswoode park road 102
725;451;shenton way 10
726;452;telok blangah heights 63
727;453;pasir panjang road 83
728;453;pasir panjang road 83-85
729;454;pasir panjang road 30
730;455;pasir panjang road 91
731;456;pasir panjang road 89
732;457;enggor street 16r
733;458;pasir panjang road 95
734;459;duxton hill a-1
735;460;telok blangah drive 75
736;3582;anson road 11
737;462;anson road 60
738;463;tanjong pagar plaza 165
739;464;tanjong pagar road 18a
740;464;tanjong pagar road 62-64
741;465;harbour drive 3
742;466;tanjong pagar road 165
743;467;cantonment road 235
744;468;telok blangah heights 58
745;469;lower delta road 160
746;153;radin mas 20
747;153;radin mas 22
748;153;radin mas 22n
749;153;radin mas 26
750;153;radin mas 27
751;153;radin mas 29
752;470;kee seng street 11
753;471;boon leat terrace 5
754;472;cantonment road 233a
755;473;cantonment road 231
756;474;telok blangah street 31 2
757;474;telok blangah street 31 450
758;474;telok blangah street 31 80c
759;474;telok blangah street 32 78a
760;474;telok blangah street 32 78b
761;475;boon leat terrace 2
762;475;boon leat terrace no 2
763;475;boon leat terrace no. 2
764;3582;anson road 1
765;476;anson road 1o
766;477;duxton road 97 to 100
767;478;cantonment road 223
768;479;boon leat terrace 1
769;480;telok blangah way 50
770;481;spottiswoode park road 101
771;482;alexandra lane 30
772;483;tuas south street 7 21
773;484;cantonment road 207c
774;485;telok blangah heights 62
775;486;telok blangah heights 68
776;487;cantonment road 204
777;488;anson road 3
778;489;boon leat terrace 11
779;490;cantonment road 199
780;491;telok blangah heights 59
781;492;anson road 20
782;493;telok blangah crescent 24
783;494;boon leat terrace 14
784;495;boon leat terrace 21
785;496;spottiswoode park road 48
786;497;spottiswoode park road 18
787;498;telok blangah heights 4-121
788;499;yan kit village 43
789;11346;yan kit village 86
790;500;gopeng street 10
791;500;gopeng street 12
792;501;cantonment road 179-181
793;502;boon leat terrace 16
794;503;boon leat terrace 15
795;504;tuas south street 10 4
796;505;alexandra terrace 38
797;506;blair road 59
798;507;cantonment road 1g
799;508;cantonment road 171
800;509;blair road 43
801;510;pasir panjang road 40
802;511;spooner road 2
803;512;boon leat terrace 18
804;513;shenton way 25
805;514;shenton way 21-07
806;515;telok blangah heights 69
807;516;everton road -
808;516;everton road blk a
809;516;everton road blk a 396
810;516;everton road blk b
811;516;everton road blk e
812;516;everton road box 28
813;516;everton road j
814;516;everton road stall 14
815;517;pasir panjang road 80
816;518;blair road 53
817;519;bukit teresa road 101a
818;519;bukit teresa road 103
819;519;bukit teresa road 103a
820;519;bukit teresa road 103c
821;519;bukit teresa road 108
822;519;bukit teresa road 112
823;519;bukit teresa road 116b
824;519;bukit teresa road 116c
825;519;bukit teresa road 118b
826;520;blair road 51
827;520;blair road 51a
828;521;anson road 10
829;521;anson road 10-06
830;521;anson road 10a
831;521;anson road 10b
832;521;anson road 10m
833;521;anson road no 10
834;521;anson road no. 10
835;522;boon leat terrace 20
836;522;boon leat terrace 20a
837;522;boon leat terrace 22
838;523;boon leat terrace 19
839;524;blair road 49
840;525;blair road 47
841;526;telok blangah heights 73
842;527;tanjong pagar road 234a
843;528;pasir panjang road 100 j
844;528;pasir panjang road 100f
845;529;yan kit road 11
846;530;yan kit road 12
847;531;yan kit road 13
848;532;yan kit road 14
849;532;yan kit road 14a
850;533;yan kit road 15
851;534;yan kit road 28
852;535;yan kit road 29
853;536;yan kit road 30
854;536;yan kit road 30a
855;537;yan kit road 31a
856;538;yan kit road 32a
857;539;yan kit road 7
858;540;blair road 45
859;541;cantonment road 134
860;542;cantonment road b-183
861;543;tuas south avenue 14 19
862;544;blair road 41
863;545;telok blangah heights 71
864;546;anson road 100
865;546;bukit panjang road 38
866;546;jupiter road 59
867;547;tuas south street 15 5
868;548;blair road 37
869;549;marina gardens drive 12
870;549;marina gardens drive 18
871;549;marina gardens drive 8
872;550;blair road 35
873;551;tanjong pagar road 8
874;552;telok blangah crescent 29
875;553;blair road 54a
876;554;blair road 31
877;555;blair road 52
878;555;blair road 52a
879;556;everton road 42
880;557;gopeng street 1
881;558;spottiswoode park road 16
882;559;blair road 50
883;560;everton road a
884;560;everton road b
885;560;everton road box 23
886;561;pasir panjang road 132
887;562;blair road 27
888;563;shenton way #1804/1805
889;563;shenton way 1006
890;563;shenton way 1009-10
891;563;shenton way 1103
892;563;shenton way 1201
893;563;shenton way 1204
894;563;shenton way 1206
895;563;shenton way 1406-14
896;563;shenton way 1501
897;563;shenton way 1501-15
898;563;shenton way 1509
899;563;shenton way 1601
900;563;shenton way 1604
901;563;shenton way 1801
902;563;shenton way 1809
903;563;shenton way 1901
904;3582;shenton way 1902
905;563;shenton way 1907
906;563;shenton way 1908
907;3582;shenton way 2001
908;563;shenton way 2002
909;563;shenton way 2005
910;563;shenton way 2008
911;563;shenton way 2009
912;563;shenton way 201
913;563;shenton way 202
914;563;shenton way 203-4
915;563;shenton way 205
916;563;shenton way 2101a
917;563;shenton way 2107
918;563;shenton way 2201
919;563;shenton way 2204
920;563;shenton way 2205
921;563;shenton way 2500
922;563;shenton way 2502
923;563;shenton way 2502a
924;563;shenton way 301-303
925;563;shenton way 406
926;563;shenton way 501
927;563;shenton way 504
928;563;shenton way 627
929;563;shenton way 701
930;563;shenton way 703
931;563;shenton way 707-708
932;563;shenton way 809
933;563;shenton way 904
934;563;shenton way 909
935;564;blair road 25
936;565;blair road 44
937;566;blair road 48
938;567;blair road 5
939;568;blair road 54
940;569;blair road 7
941;570;blair road 46
942;571;shenton way 8
943;571;shenton way no 8
944;571;shenton way tower 2502
945;572;tuas south street 10 3
946;573;blair road 23
947;574;telok blangah crescent 23
948;574;telok blangah crescent 23-77
949;575;blair road 42
950;576;kampong bahru hill 23
951;577;telok blangah heights 72
952;578;kampong bahru road 87
953;3582;choon guan street 20a
954;580;kampong bahru road 89
955;580;kampong bahru road no. 2
956;581;kampong bahru road 85
957;582;tuas south street 7 16
958;583;blair road 19
959;583;blair road 19a
960;583;blair road 19b
961;584;choon guan street 6
962;584;choon guan street 8
963;585;telok blangah heights blk 60
964;586;everton road 23
965;587;blair road 17
966;587;blair road 17a
967;587;blair road 17b
968;588;tras link 1
969;589;kampong bahru road 83
970;589;kampong bahru road 83a
971;590;everton road 24
972;591;everton road 25
973;592;everton road 26a
974;592;everton road 26b
975;593;kampong bahru road 79
976;594;blair road 17-19
977;595;kampong bahru hill 22
978;596;blair road 15
979;596;blair road 15b
980;597;everton road 27
981;597;everton road 27a
982;597;everton road 27c
983;598;kampong bahru road 81
984;2710;kampong bahru road no.81
985;599;tras street 306
986;600;spottiswoode park road 54
987;601;blair road 11
988;602;everton road 29
989;603;alexandra road 450
990;637;alexandra road 450-452
991;604;kampong bahru hill 24
992;605;boon leat terrace 34
993;606;kampong bahru road 77a
994;607;everton road 32
995;608;tras street -
996;609;tras street 1
997;610;tras street 100
998;599;tras street 1006
999;3582;tras street 16
1000;611;tras street 163
1001;409;tras street 168
1002;612;tras street 51
1003;612;tras street 51a
1004;613;tras street 52
1005;614;tras street 52a
1006;615;tras street 53
1007;616;tras street 54
1008;616;tras street 54a
1009;616;tras street 54b
1010;617;tras street 58
1011;617;tras street 58a
1012;617;tras street 58c
1013;618;tras street 60
1014;618;tras street 60a
1015;619;tras street 61
1016;620;tras street 64
1017;620;tras street 64a
1018;608;tras street 64b
1019;608;tras street 65
1020;608;tras street 66a
1021;608;tras street 66b
1022;608;tras street 68
1023;608;tras street 70
1024;608;tras street 70b
1025;608;tras street 71
1026;608;tras street 71a
1027;3582;tras street 71b
1028;608;tras street 72
1029;608;tras street 72a
1030;608;tras street 72b
1031;608;tras street 73
1032;608;tras street 74a
1033;608;tras street 74b
1034;608;tras street 79a
1035;608;tras street 80
1036;608;tras street 83
1037;608;tras street 83a
1038;608;tras street 84
1039;621;spottiswoode park road 56
1040;622;tanjong pagar road 5
1041;623;spottiswoode park road 55
1042;624;kampong bahru road 75a
1043;625;kampong bahru road 175
1044;625;kampong bahru road 75
1045;626;everton road 36
1046;627;kampong bahru road 71
1047;11346;kampong bahru road 71b
1048;628;everton road 38
1049;4240;alexandra road 1
1050;629;alexandra road 4
1051;629;alexandra terrace 60
1052;629;jalan mendong 11
1053;629;pasir panjang hill 34
1054;629;pasir panjang hill 36
1055;629;pasir panjang hill 38
1056;629;pasir panjang hill 4
1057;629;pasir panjang hill 41d
1058;629;pasir panjang hill 42
1059;629;pasir panjang hill 43f
1060;629;pasir panjang hill 45
1061;629;pasir panjang hill 45a
1062;629;pasir panjang hill 45b
1063;629;pasir panjang hill 45d
1064;629;pasir panjang hill 45e
1065;629;pasir panjang hill 45g
1066;629;pasir panjang hill 46
1067;629;pasir panjang hill 5
1068;629;pasir panjang hill 53a
1069;629;pasir panjang hill 55
1070;629;pasir panjang hill 59a
1071;629;pasir panjang hill 6
1072;629;pasir panjang hill 61
1073;629;pasir panjang hill 61a
1074;629;pasir panjang hill 63
1075;629;pasir panjang hill 69
1076;629;pasir panjang hill 71
1077;629;pasir panjang hill 75
1078;629;pasir panjang hill 8
1079;629;pasir panjang hill 81
1080;629;pasir panjang hill 85
